SN,Term,Definition (English),Term translation/transliteration in Tigrinyan,Definition in Tigrinyan,Tigrinyan definition provided by (names),Term translation/transliteration in Amharic,Definition in Amharic,Amharic definition provided by (names)
11,Adulteration,"Adulteration is when the normal content of the food has been intentionally changed by adding something to it that is not essential; for example, diluting milk with water and selling it as whole milk. Adulterated food could be unsafe for a number of reasons. These include poor nutrition; watered-down milk is not as nutritious as whole milk.Unsafe ingredients may have been used, for example unclean water or other harmful ingredients might have been added.",ምሕዋስ,ኣብ ሓደ ንፁህ ዝኾነ ምግቢ ወይ መድሓኒት ኮነ ኢልካ ካሊእ ዓይነት ኣካል ምውሳኽ ወይ ምሕዋስ,,,,
12,Advice,Communication that you have with your client or couple in order to help them arrive at voluntary and informed decisions. ,ምኽሪ,ተገልገልቲ ሕክምና ዝኾኑ ውልቀ ሰባትን ተፃመድትን ፈሊጦም ንክውስኑ ዝሕግዝ ሞያዊ ምኽሪ ምሃብ,,,,
13,Advocacy,"Advocacy is the act of delivering an argument so that you can gain commitment from your political and community leaders, and help your community organise itself to face a particular health issue.Advocacy is about helping you to speak up for your community; to make sure that the views, needs and opinions of your community are heard and understood. ",ምግዋሕ,ኣብ ሓደ ጉዳይ መሰረት ጌርካ ናይ ፖለቲካን ካልኦት መራሕትን ከምኡ ውን መላእ ሕብርተሰብ ደገፍ ንክገብር ምልዕዓል ምግባር,,,,
14,Advocates,Advocates are skilled negotiators and consensus builders who look for opportunities to win modest but strategic policy gains. ,መልዓዓልቲ/ኣጋዋሕቲ,መልዕዓልቲ ዝበሃሉ ኪኢላታትን መሃዝትን ኮይኖም እቲ ፖሊሲ ወይ ድማ ኣንፈት ተቀባልነት ንክህልዎ የረድኡን ይእምኑን,,,,
15,AED,"Antiepileptic drugs (AED). It can take some time to find the right type of AED, and the correct dose, before the seizures are brought under control. ",መድሓኒት ዘውድቅ ሕማም,ንዘውድቕ ሕማም መቆፃፀሪ መድሓኒት,,,,
16,Aeration,Aeration means to mix air with the water. It is used to remove volatile (easily evaporated) substances from drinking water. ,ማይ ኣየርን ምሕዋስ ,ማይ ኣየርን ብምሕዋስ ብትነት መልክዕ ክተኑ ዝግበኦም ንጥረ ነገራት ካብ ዝስተ ማይ ብቐሊሉ ንኽወፁ ይጠቅም ,,,,
17,Aerobic,"Microorganisms that require oxygen in order to survive. Example:Escherichia coli, a faecal bacterium which grows readily on many foods.  ",ኦክስጅን ዘድልዮ,ንክነብሩን ንክራብሑን ኦክስጅን ዘድልዮም ተሃዋስያን አይሮቢክ ይበሃሉ,,,,
18,Affordable,"Affordable: The mother and family, with available community and/or health system support, can pay for the costs of the feeding option, including all ingredients.",ፍትሓዊ ዋጋ,ብርትዓዊ ዋጋ ናይ ምግዛእ ዓቕሚ,,,,
19,AFP,"Acute flaccid paralysis (AFP), which is the sudden onset of severe weakening or loss of muscle tone in the legs, arms or hands. ",ቕፅበታዊ ለምሲ,ሃንደበታዊ ዝኾነ ናይ ጅማትን ምልማስን ጥንካረ ጭዋዳ ምድኻምን ,,,,
20,AIDS,Acquired Immunodeficiency Syndrome (AIDS) is the collection of diseases that results from HIV infection.,ኤድስ,ብቫይረስ ዝመፅእ ናይ ሰብነት ናይ ምክልኻል ዓቕሚ ዘዳኽም ሕማም,,,,
21,Algorithm,"An algorithm is a set of guidelines that enables you to follow the steps in a prescribed course of action, with pathways at each step depending on the results. ",መላ/መምርሒ,ሓደ ተግባር ንምፍፃም ወይ ንምስራሕ ዘኽእለካ ናይ አሰራረሓ ቅደም ስዓብ ዝሓዘ መምርሒ,,,,
22,Allergens,"Any substance that induces an allergic reaction. Examples of allergens include: Pollen from trees, crops and flowers, house dust.  ",አለርጅክ,ናይ ሰብነት ምቁጣዕ ክለዓል ዝገብሩ ነገራት አለርጅን ይበሃሉ ,,,,
23,Altitude,Altitude is the height/elevation above sea level. It is one of the most important factors that determines the pattern of malaria transmission in Ethiopia.,ብራኸ,ካብ ፀፍሒ ባሕሪ ንላዐሊ ዘሎ ብራኸ,,,,
24,Ambu-bag,A hand-operated pump. It pumps air into the baby's lungs through a mask fitted over its nose and mouth.,ኣምቡ ባግ,ብኢድ ዝሰርሕ ንስርዓተ ምስትንፋስ ዝሕግዝ መሳርሒ,,,,
25,Amenorrheaic,Absence or abnormal stoppage of menstruation,ወርሓዊ ፅግያ ዘየርአየት/ ዘsረፀት,ወርሓዊ ፅግያ ከየርአየት ዝሓለፋ/ ዘsረፀት Õል ኣንስተይቲ,,,,
26,Amenorrhoea,Absence or abnormal stoppage of menstruation,ወርሓዊ ፅግያ ዘይምምፃእ,ወርሓዊ ፅግያ ዘይምምፃእ,,,,
27,Amoxicillin,Penicillin antibiotic of similar action to ampicillin.,ፐንሲሊን,ፐንስሊን ፀረ ትህዋስ ኮይኑ ምስ ኣምፕሲሊን ተመሳሳሊ ተግባር ዘለዎ ,,,,
28,Ampoule,A sealed sterile glass or plastic bottle with a thin neck for storing liquids for injection. The ampoule has to be broken open at the neck before the vaccine can be used for injection.,ብልቃጥ,ንፁህ መድሓኒት ዝሓዘ ዝተዓሸግ ጎማ/ጠርሙስ  ብልቃጥ ይበሃል,,,,
29,Anaemia,A condition in which there is not enough haemoglobin in the blood. Haemoglobin is the red substance in the red blood cells which carries oxygen. ,አነምያ/ምጭዳሕ,ዋሕዲ ደም ዋህዮ ቀይሕ ደም  ወይ ብሕፅረት ሄሞግሎቢን ዝመፅእ,,,,
30,Anaerobic,Microorganisms that do not need oxygen to survive. ,ኦክስጅን ዘየድልዮ,ንምንባርን ንምርባሕን ኦክስጅን ዘየድልዮም ተሃዋስያን,,,,
31,Anterior,Situated at or towards the front. ,ፊት ንፊት/ ብቕድሚት,ፊት ንፊት ዝርአ ናይ ሰውነት ክፍሊ,,,,
32,Anthropometry,"The study of human body measurement for use in anthropological classification and comparison. Anthropo: 'human', metry: 'measurement'. ",ኣንትሮፖሜትሪ,ሕፅረት ምግቢ ምህላውን ዘይምህላውን ንምፍላጥ ዝግበር ናይ ርእሲ፣ ኩርናዕ፣ ክብደትነ ቁመትን ዓቐን,,,,
33,Antibiotics,"Medicines that destroy bacteria, or stop them from multiplying in the body. ",ፀረ ተሃዋስያን,ንደቀቕቲ ተሃዋስያን ብፍላይ ንባክተርያ ዕብየት ዝዓግትን ዝቐትልን መደሓኒት,,,,
34,Antibodies,Small proteins that are made by the body's immune system and that recognise and help get rid of foreign organisms and toxins.,ኣንቲቦዲ,ኣብ ደም ውሽጢ ዝርከቡ ሕማም ንምክልኻል ዝሕግዙ ፕሮቲናት,,,,
35,Antigens,Any foreign substance that causes an immune response.,ኣንቲጀን,ካብ ግዳም ናብ  ደም ውሽጢ ብምእታው ሕማም ከምፅኡ ዝኽእሉ  ፕሮቲናት,,,,
36,Antiretrovirals (ARVs),Any drug that works against a retrovirus. HIV is a retrovirus.,ፀረ ቫይረስ,ብሰንኪ ቫይረስ ንዝመፁ ሕማማት ዝወሃቡ መድሓኒታት፡፡ ንኣብነት፡ ንኤድስ ሕሙማት ዝውሃብ ናይ ኤችኣይቪ መድሓኒት,,,,
37,Anxiety,"Anxiety is when a person worries too much about something, for example their health, their problems, or even what will happen in the future. ",ጭንቀት,ብዛዕባ ሓደ ጉዳይ ካብ መጠን ንላዐሊ ምሕሳብን ምጭናቕን,,,,
38,AOM,"Acute otitis media (AOM) is a severe infection of the middle ear, lasting less than two weeks. It is very common in babies and young children, but is rarely seen in adults. ",ቅፅበታዊ ሕማም እዝኒ,ብባክተርያ ዝመፅእ ብፍላይ ኣብ ህፃናት ዝርኣይ ቅፅበታዊ ሕማም  ማእኸላይ እዝኒ ,,,,
39,APH,Antepartum haemorrhage (APH) or late pregnancy bleeding. It is an important cause of maternal and fetal death and needs the attention of a highly skilled healthcare provider. ,መድመይቲ ቅድመ ወሊድ,ድሕሪ ጥንሲ/ቅድመ ወሊድ/ ዘጋጥም ናይ ማህፀን መድመይቲ /ብፍላይ ድማ ድሐሪ 7ወርሒ ጥንሲ ዘጋጥም መድመይቲ,,,,
40,Appeal,A message that is likely to persuade or convince people. ,ስሓባይ/መእመናይ,ስሓባይ /መእመናይ/ ብዝኾነ መልክዕ መልእኽቲ ምትሕልላፍ,,,,
41,Appendicitis,Appendicitis is an acute condition which occurs as a result of inflammation of the appendix. ,ሕማም ትርፊ መዓንጣ,ሕማም ትርፊ መዓንጣ,,,,
42,Appendix,"A small tube, closed at one end, which is found at the junction between the small and the large intestine.",ትርፊ መዓንጣ,ትርፊ መዓንጣ,,,,
43,Aquifers,"An underground layer of permeable rock, sediment or soil that yields water.",ፀፍሒ,ማይ ዝዓረፈሉ ታሕተዋይ ኮክሒ,,,,
44,Arborloo,"A simple form of ecological sanitation. This consists of a single, unlined shallow pit with a portable ring beam (circular support), slab and superstructure. It is used like a normal latrine but with the regular addition of soil, wood ash and leaves. ",ኣርቦርሉ,ቀሊልን ብሕሳር ዋጋ ዝስራሕን ዓይነ ምድሪ ኮይኑ ንማዳበርያ ከም ዝጠቅም ተገይሩ ዝተሰርሐ,,,,
45,ARIs,"Acute respiratory tract infections (ARIs) are bacterial or viral infections of the respiratory tract leading to breathing difficulties, fever and other complications, including infections in the ear and the membranes surrounding the brain. ",ቅፅበታዊ ረኽሲ ስርዓተ ምትንፋስ ,ብባክተርያ ወይ ብቫይረስ ዝመፅእ ሃንደበታዊ ናይ መተንፈሲ ኣካላት ሕማም,,,,
46,ART,"The treatment used for HIV-positive people. It consists of giving drugs termed antiretrovirals (ARVs), which work by attacking the human immunodeficiency virus (HIV) itself. ",ንኤች ኣይ ቪ ሕሙማት ዝወሃብ መድሓኒት,ንኤች ኣይ ቪ ሕሙማት ዝወሃብ መድሓኒት,,,,
47,Artery,Blood vessels that carry oxygenated blood from the heart to various parts of the body. ,ቀዳሒ ደም,ኦክስጅን ዝሓዘ ደም ካብ ልቢ ናብ ካሊእ ሰብነት ዝወስድ ዓይነት ቧንቧ/ትቦ ደም ኮይኑ ዝበዝሐ ፀቕጢ ደም ዝርአየሉ,,,,
48,Arthropods,"An invertebrate animal having an external skeleton, a segmented body and jointed appendages/limbs. E.g. insects such as flies and other creatures such as mites that transmit disease.",ዓንዲ ሑቐ ዘይብሎም ነፍሳት,ዓንዲ ሑቐ ዘይብሎም ነፍሳት,,,,
49,Ascariasis,"Infection of the small intestine with a helminth parasite called Ascaris lumbricoides. Causes discomfort, indigestion, weakness, and sometimes blocking of the gut.",ወስፋት,ብሰንኪ ኣስካሪያ ሉምብሪኮይድ ዝተበሃለ ዝመፅእ  ሕማም ወስፋት (ፅግዕተኛ መዓንጣ) ,,,,
50,Asphyxia,A condition of severe shortage of oxygen to the body that arises from being unable to breathe normally. Asphyxia in the uterus is due to an inadequate supply of oxygen from the mother's blood or a problem in the placenta. ,ኣስፊክዝያ,ብሰንኪ ሕፅረት ኦክስጅን ዝመፅእ ሽግር ኮይኑ ክሳብ ውነ ምስሓትን ሞትን ክበፅሕ ይኽእል,,,,
51,Aspiration (Vacuum),Abortion/Pregnancy Termination using an instrument like a syringe operated by hand that creates a negative pressure to suck out the contents of the uterus.,መጢጥካ ምውጋድ,ዝመጥጥ መሳርሒ ብምጥቃም ካብ ውሽጢ ሰብነትና አየርን ፈሳሲን ምውጋድ,,,,
52,Assess,"The gathering of information about a patient's status (physical, psychological, sociological).",ምምርማር/ምድህሳስ,ወሰንቲ ምልክታት ምዝባዕ ጥዕና መሰረት ጌይረካ ምርመራ ጥዕና ምግባር,,,,
53,Assessment,See Assess,ምርመራ/ዳህሳስ,ወሰንቲ ምልክታት ምዝባዕ ጥዕና መሰረት ጌይረካ ምርመራ ጥዕና ናይ ምግባር ኹነት,,,,
54,Attitudes,Attitudes are relatively constant feelings directed toward something or someone that contains a judgment about whether that something or someone is good or bad.,አመለኻኽታ,ብዛዕባ ሓደ ጉዳይ ዘለካ አመለኻኽታ ወይ ስምዒት/ ብፅቡቕ ይኹን ብሕማቕ,,,,
55,Autism,"Autism is a neurodevelopmental disorder characterized by impaired social interaction, verbal and non-verbal communication, and restricted and repetitive behavior. Parents usually notice signs in the first two years of their child's life.",ኦቲዝም (ፀገም ስነ ኣእምሮ),ኣብ እዋን ቁልዕነት ዝርአ ናይ ምዝራብን ናይ ምርድዳእን ፀገም,,,,
56,Autoclave,An autoclave is a device used to sterilize equipment and supplies by subjecting them to high pressure saturated steam at 121°C for around 15–20 minutes depending on the size of the load and the contents.,ኣውቶክሌቭ (መምከኒ),ደቀቕቲ ተሃዋስያን ምሉእ ንሙሉእ ንምውጋድ ወይ ንምምካን ዝጠቅም መሳርሒ,,,,
57,Autolysis,Destruction of a cell through the action of its own enzymes. Also known as 'self-digestion'.,ዓርሰ ብርሰት,ናይ ዋህዮታት ወይ ቲሹ ዓርሰ ብርሰት ወይ ዓርሰ ጥፍኣት,,,,
58,Autonomy,"The term refers to every individual's right of self-determination, independence and freedom to make their own choices. ",ነፃነት,ካብ ናይ ካልኦት አካላት ፀቕጢ ነፃ ኮይንካ ምውሳን,,,,
59,Axillary,Related to the axilla (Armpit),ኩኩዒት,ኢድን ደረትን ዝራኸብሉ ትሕታዋይ ክፋል ኣካል ወዲሰብ,,,,
60,Bacteria,Unicellular organisms (made of one cell) and are very small in size.,ባክተርያ ,ሓደ ዋህይዮ ዘለዎ ስነ ህይወታዊ ኮይኑ ብጣዕሚ ደቂቕ ተሃዋስያን (ብዓይኒ ክርአ ዘይክእል),,,,
61,Basic,Pure. Forming a base or starting point. E.g. Basic research is designed to extend knowledge for the sake of understanding itself and discovering new knowledge and understanding is the objective.,መሰረታዊ,መሰረት ምሓዝ ንኣብነት ናይ መሰረት መበገሲ  መፅናዕቲ ምክያድ ሓዱሽ ፍልጠት ንምውሳኽን ንምጭባጥን ይሕግዝ,,,,
62,Behaviour,"Behaviour is an action that has a specific frequency, duration and purpose whether conscious or unconscious. It is what we do and how we act. People stay healthy or become ill often as a result of their own action or behaviour. ",ባህሪ/ተግባር,ብፍላጥ ድዩ ብዘይ ምፍላጥ ብተደጋጋሚ እንገብሮ ተገባር ወይ ድማ ባህሪ:: እዙይ ማለት እቲ እንገበሮን ብኸመይ ከም እንገብሮን ዘርኢ እዩ:: እዙ ባህሪ/ተግበር እዚ ድማ ብጥዕና ንኽነብር ወይ ድማ ንኽንሓምም ዝገብር እዩ,,,,
63,Beliefs,"Beliefs are convictions that something is real or true. Statements of belief about health include such negative comments as, 'I don't believe that exercising is good for you'.",እምነት,ሓቂ እዩ ኢልና እንኣምኖ ነገር:: ንኣብነት ስፖርት ምስራሕኻ ንጥዕናኻ ምንም  ጠቃሚ ኣይኮነን: ,,,,
64,beneficence,"The term beneficence tells you about 'doing good' for your client, for instance by providing immunization. ",ጠቃምነት ,ፅቡቅ ስራሕ ምስራሕ:: ንኣብነት ንዓማዊልካ ክትባት ምሃብ::,,,,
65,Benefits,"Something helpful, favourable, or profitable. ",ጥቅሚ,ሓጋዚ ዝኾነ ነገር: ምችዊ: ወይ ድማ ከስቢ ዘለዎ ,,,,
66,Bias,An opinion or influence that strongly favours one side in an argument or one item in a group,ኣድልዎ /ምዝንባል/,ናብ ሓደ ጉጅለ ዘዘንበለ ሓ ሳብ ወይ ድማ ሪኢት ምሃብ::,,,,
67,Biodegradable,Able to be broken down by bacteria in the environment. Can be recycled or reused.,ዝብስብስ,ብሓገዝ ባክተያ ኣብ መሬት ወይ ድማ ባይታ ዝበስበስ ነገር:: እዚ ዝበስበሰ ነገር ድማ ንኻልኣይ ግዘ ኣብ ጥቅሚ ክውዕል ይኽእል::,,,,
68,Biogas,"Biogas is a gas produced  by  ተhe breakdown of organic matter in  the  absence  of oxygen. It is a renewable energy source, like solar and wind energy. Biogas can be produced from regionally available raw materials and recycled waste and is environmentally friendly. Biogas can be used for cooking and lighting energy. ",ባዮጋዝ,ባዮጋዝ ማለት ካብ ብዘይ ኦክስጅን ዝበስበስ ነገር ዝስራሕ ጋዝ ኮይኑ ክትካእ ክሕደስ ዝኽእል ምንጪ ሓይሊ ወይ ድማ ፀዓት እዩ:: ካብ ኣብቲ ከባቢ ዝርከብ ንጥረ ነገር ወይ ድማ ጎሓፍ ዝስራሕ ኮይኑ ኣብ ከባቢ ዘምፀኦ ሳዕቤን የብሉን::,,,,
69,Biomass,"Biomass is any biological material from living or recently living plants that is used to generate energy,",ባዮማስ,ባይማስ ማለት ዝኾነ ህይወት ዝነበሮ ነገር ኮይኑ ሓይለ ወይ ድማ ፀዓት ንምምጫው እንጥቀመሉ ነገር እዩ::,,,,
70,Biopsy,The removal and examination of tissues from the living body to determine the existence or cause of a disease. It involves the microscopic examination of a small specimen of tissue extracted from the patient's body. ,ንምርመራ ዝውሰድ ኣካል,ባዮፕሲ ማለት ካብ ሰውነትና ዝውሰድ ነገር ኮይኑ ኣድላይነቱ ድማ ምርመራ ገይርካ መንስኤ እቲ ሓመም ንምፍላጥ ዝሕግዝ እዩ:: እቲ ዝተወስደ ኣካል ብማይክሮስኮፕ ተራእዩ እቲ ሕማም እነታይ ምካኑ መንስኤኡ ውን እንታይ ከም ዝኾነ ይንፀር::,,,,
71,Biopsychosocial,"Combination of biological, psychological and social problems. Mental health professionals have developed a model of mental illness called the 'biopsychosocial' model. ",ሕዋስ ስነ ህይወትን ስነ ልቦናን ማሕበራዊ ህይወትን,ሕዋስ ስነ ህይወትን ስነ ልቦናን ማሕበራዊ ህይወትን ኮይኑ ሰብ ሞያ ጥዕና ኣእምሮ ድማ ሞዴል ሕማም ኣእምሮ ዝኾነ ባዮሳይኮሎጊካል ፈጢሮም እዮም ::,,,,
72,Biosolid,Biosolids is a term that is typically used to describe several forms of treated sewage sludge that is intended for agricultural use as a soil conditioner. ,ዝተሓከመ ጎሓፍ ኮይኑ ንሕርሻ ጥቅሚ ዝውዕል ድኹዒ እዩ::,ዝተሓከመ ጎሓፍ ኮይኑ ንሕርሻ ጥቅሚ ዝውዕል ድኹዒ እዩ::,,,,
73,Blanching,A mild pre-cooking operation which can reduce the bacterial load on vegetables by 90%. ,ምፅራይ,ቅድሚ ምበሳል ዝገበር ኮይኑ እነካብ ኣታክልቲ ባክተርያ ብቴስዓ ሚኢታዊ ዝቅንስ አዩ::,,,,
74,Blastocyst,Hollow ball of cells after five days of fertilisation (just before implantation of the embryo).,ናይ መጀመርያ ደረጃ ዕብየት ድቂ,ኣብ ማእኸሉ ክፍተት ዘለዎ ኩዑሾ ዝመስል ዋህዮ ድቂ ቅድሚ እቲ ድቂ ናብ ግድግዳ ማህፀን ምልጣፉ ዝፍጠር ,,,,
75,Blood,"Blood is a fluid comprising red blood cells, several types of white blood cells and small fragments of blood cells called platelets, which are involved in the blood clotting process. These cells are all suspended in yellowish or straw-coloured liquid called plasma. ",ደም,ደም ማለት ፈሳሲ ኮይኑ ኣብ ውሽጡ ድማ ቀያሕቲ ዋህዮ ደም ፀዓዱ ዋህዮ ደም ፐላትሌትስ ዝባሃሉ ዋህዮ ደም ደም ንኸይረግእ ዝሕግዙ ዝሓዘ እዩ ::,,,,
76,BMI,Body Mass Index or the relationship between weight and height. Your BMI is defined by your weight in kilograms divided by your height in metres and the result is divided again by your height in metres. ,ቢምኣይ,ቦዲማስ ኢንደክስ ማለት ርክብ ክብደትን ቁመትን ዝገልፅ እዩ ::,,,,
77,Boiling,Boiling is the process of applying heat to water until the temperature reaches about 100°C. ,ምፍላሕ,ምፍላሕ ማለት ማይ ብሙቀት ሓይሊ ሚኢቲ ዲግሪ ሰሊሸስ እንትበፅሕ ማልት እዩ ::,,,,
78,Borrow-pits,"Also known as a sand box. It is a term used in construction and civil engineering. It describes an area where material (usually soil, gravel or sand) has been dug for use at another location.Borrow-pits used to extract soil and stones for construction are very common in rural Ethiopia inside and outside villages.  ",ጉድÕድ,ሓመድን ሑፃን ንምውጻእ ተባሂሉ ዘኮዓት ጉድÕድ,,,,
79,BP,Blood pressure (BP) refers to how hard the blood is 'pushing' on the walls of the major blood vessels as it is pumped around the body by the heart. ,ቢፒ,ደም ክንደይናይ ይተምም ምህላው ንምግላፅ ዝገልግል እዩ:: ፀቅጢ ደም ምህላውን ዘይምህላውን ንምገላፅ ይሕግዝ ::,,,,
80,BP-100,An RUTF (Ready to Use Therapeutic Food) wheat and oat biscuit.,ቢፒ 100,ሕፅረት ምግቢ ንምኽካም ዝተጀወ ምግቢ ,,,,
81,Bronchioles,Passageways that carry air into all parts of the lungs. They are branches of the bronchi. ,ብሮንኮይል,ኦክስጂን ናብ  ሻንቡእ ብምልኡ ዘባፅሕ,,,,
82,Brow,The area of skull which extends from the anterior fontanel to the upper border of the eye. ,ግንባር ርእሲ ,ግንባር ርእሲ ,,,,
83,Bundling,"The practise of organising stock all together in ""bundles"".",ምእሳር እሳር,ሓደ ነገር እንክጥመር ከሎ,,,,
84,Burn,"Damage, hurt or destroy by fire.",ዝነደደ ዘተቃፀለ,ብሓዊ ዝነደደ ወይ ድማ ዝተቃፀለ,,,,
85,Calcification,"The accumulation of calcium salts in the body tissue, normally in the formation of the bone. E.g. Calcification of the skeleton ",,ኣብ ሰውነት ካልሸየም ዝተብሃለ ንጥረ ነገር እንክውህልል ከሎ:: ንኣብነት ኣብ ዓፅሚ ,,,,
86,Canning,One of the most widely used modern methods of processing and preserving food. It involves the careful preparation of food packed into a sealed tin. ,ምዕሻግ,ምዕሻግ ማለት ዘበናዊ ሜላ ኮይኑ ምግቢ ንኸይላሾ ዝሕግዝ እዩ::,,,,
87,Cannula,"A tube or hollow needle that can be inserted into a vein, often for the delivery or removal of fluid or for the gathering of data. ",ዓብይ መርፍእ ስርንጅ,ናብ ደም ስር ዝኣቱ ሲሪንጋ ወይ ድማ መርፍእ ኮይኑ ፈሳሲ ንምሃብ ወይ ድማ ደም ንምሳድ ይሕግዝ::,,,,
88,Capillaries,"Capillaries are the smallest blood vessels in the body, having an internal diameter hardly larger than the diameter of a single red blood cell.  ",ደቂቅ ደም ስር,ካፒላሪስ ማለት ዝነኣሰ ደም ሱር ኮይኑ ስፍሓቱ ድማ ሓንቲ ዋህዮ ቀይሕ ደም ከመሓላልፍ ዝኽእል እዩ::,,,,
89,Caput,A large swelling over the fetal skull in the area that was pressed against the cervix during labour and delivery. ,ቆልዓ ምስ ተወልደ ኣብ ርእሱ ዘርአ ሕበጥ,ቅልዓ ክውለድ ከሎ ኣብ ርእሱ ዝፍጠር ሕብጠት ኮይኑ ብሰንኪ መፅቀጥቲ ርእሲ ብጉሎ ዝመፅእ እዩሱር,,,,
90,Carbohydrates,"Starchy foods such as Injera, bread, potatoes, rice and cereals.Carbohydrates are referred to as energy-giving foods. They provide energy in the form of calories that the body needs to be able to work, and to support other functions. Carbohydrates are needed in large amounts by the body. Indeed, up to 65% of our energy comes from carbohydrates. ",ሓይሊ ወሃቢ ምግቢ ንጥረ ነገር,ከም እንጀራ ሕምባሻ ድንሽ ሩዝ ጥረምረ ዝኣምሰሉ ምግብታት ይሕዝ:: ካርቦሃይድሬት ማለት ሓይሊ ወይ ድማ ሙቀት ዝህቡ ምግብታት ማለት እዩ:: ሰውነት ስርሑ ንኽሰርሕ ዝሕግዝ ሓይሊ ማለት እዩ:: ሰውነትና ስርሒ ንኽሰርሕ ድማብዙሕ ሙቀት ወይ ድማ ሓይሊ ይድልዮ:: ልዕሊ 65 ሚኢታዊ ድማ ካብ ካርቦሃይድሬት ንረኽቦ::,,,,
91,Carriers,"Individuals who are infected, but who do not have clinical manifestations. Carriers and active cases can both transmit the infection to others. ",ተሸከመምቲ ,ተሸከምቲ ሕማም መለት ምልክት ዘይተረኣዮም ሰባት ኮይኖም እቲ ሕማም ናብ ካልኦት ከማሓላልፉ ዝኽእሉ እዮም::,,,,
92,Case,An individual who has a particular disease. ,ሕማም ዘለዎ ሰብ,ሰብ ኮይኑ ሕማም ዘለዎ ማለት እዩ::,,,,
93,Cataracts,"Cataracts are changes in clarity (clouding) of the lens in the eye, which interferes with the passage of light into the eye. As the lens gets increasingly cloudy (opaque), less and less light can get through it. ",ብሌን ዓይኒ ዝሽፍን ነገር,ካታራክት ማልት ዓይኒ ደቂ ሰባት ብዝግባእ ንኽይርኢ ዝገብር ኮይኑ ሌንስ ዓይኒ ዝሽፍን ሕማም ማለት እዩ:: ብርሃን ውን ናብ ዓይኒ ንኸይኣቱ ዕንቅፋት ዝፈጥር ናይ ዓይኒ ፀገም  ወይ ሕማም እዩ,,,,
